Дата создания;Текст;Блок;Объект;Тема сообщения;Параметр сообщения;Аспект сообщения;Локация (район);Населенный пункт (город или поселок, не СПб, например, Пушкин, Колпино, Парголово);Название улицы (проспекта, переулка);Тип улицы;Номер дома (без пробелов, вид: 12 или 1к4 или 8стр1 или 11/2 или 23литБ);Адрес объекта - Не править!;Объект в сообщении;ИОГВ;Улицы объекта - Не править!
27.2.22;В Петергофе закрыли цент гемодиализ из-за этого люди не получили помощь, потому что Николаевская больница перепрофилирована в ковидную;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;Петродворцовый район;;;;;;;КЗ;
27.2.22;Уважаемый Александр Дмитриевич! Прошу Вас лично мне помочь в получении квартиры в Приморском районе Санкт-Петербурга, так как я учусь в этом же районе и планирую продолжить процесс обучения в том же учреждении.<br>Я включён в список детей-сирот и детей, оставшихся без попечения родителей, и достигших возраста 23 лет, которые подлежат обеспечению жилыми помещениями специализированного жилищного фонда Санкт-Петербурга. Распоряжение администрации Фрунзенского района Санкт-Петербурга от 22.09.2020 № 689-р, № уч. дела 208/20.<br>Я не хотел бы жить с выпускниками детских домов в одном районе Санкт-Петербурга, так как хочу жить самостоятельно и не зависеть от детей из детских домов. Если есть возможность получения квартиры в Приморском районе, то я готов подождать столько, сколько потребуется в рамках вышеуказанного Распоряжения.<br>Прошу вас оказать содействие и помочь мне в получении квартиры в Приморском районе Санкт-Петербурга.;ЖКХ;Жилищные вопросы;Жалобы на долгое ожидание или отказ в предоставлении жилья, улучшении жилищных условий;Предоставление жилья;Проблемы с улучшением жилищных условий;Приморский район;;;;;;Квартира;АР;
27.2.22;Здравствуйте Жилищный комитет!!! Я Андрияновы Елена Станиславовна мама Андрияновой Надежды Александровны, Андрияновой Нармин Элияровны, Ибодова Али Манучехрович, Андрияновой Алёны Абдумаликова,живём в 2-х комнатной квартире, по адресу Санкт-Петербург Россия пр Луначарского дом 33 корпус 1 квартира 166, общая площадь 46 КВ,м. скажите пожалуйста, Я знаю там многие отказываются у вас от четырёхкомнатных квартир из-за того что им неудобно ехать до работы или ещё куда-нибудь, выдайте нам пожалуйста четырёхкомнатную квартиру🙏🙏🙏🙏🙏 я не откажусь а нам всё равно где жить в каком районе,главное что бы у детей было свае место для уроков и игры,мы уже вещи все собрали хоть завтра готовы переехать в 4 комнатную квартиру,нету сил больше услышите меня прошу вас умоляю 🙏🙏🙏🙏🙏 если можно то проинформируйте меня насчёт четырёхкомнатной квартиры здесь на сайте, так как мой телефон номер не всегда активен, когда будет выдаваться смотровой лист????? Спасибо большое ❤️❤️❤️❤️❤️💋💋💋💋💋 С уважением к вам ваша многодетная мать!!!!!;ЖКХ;Жилищные вопросы;Жалобы на долгое ожидание или отказ в предоставлении жилья, улучшении жилищных условий;Предоставление жилья;Проблемы с улучшением жилищных условий;;;;;;;Квартира;ЖК;
27.2.22;[id655090366|Мария], серьёзно? В Парголово, на ул. Вологдина, строят новый малоэтажный жилой комплекс, без школы, садика, поликлиники, это как? Врут значит?));Строительство;Социальная инфраструктура;Строительство д/сада, школы не ведется;Перенос сроков строительства;;Выборгский район;Парголово;Вологдина;ул;;Парголово Вологдина ул;;КС;
27.2.22;Блюхера 44 к 2 на газон.54 на контейнерной площадке;ТКО;Контейнерные площадки;Доступ к контейнерной площадке;0;Отсутствует (не обеспечен) доступ к КП;Калининский район;;Маршала Блюхера;пр-т;44к2;Маршала Блюхера пр-т 44к2;;;
27.2.22;[club148997934|ГАТИ | Правительство Санкт-Петербурга], здравствуйте. Мы Вас очень ждём на улице Пейзажная 16 корп 1. Тут ваших клиентов пруд пруди. Ежедневно около десятка машин паркуются на газонах, детских площадках, в плотную к подъезду. Очень ждём Вас);Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;"Добрый вечер. Просьба, если передаёте жалобы председателям, то сделайте это анонимно. В прошлый раз, председатель звонила моей матери и жаловалась, что у меня претензия. Я не маленький ребёнок, которого нужно отчитывать.<br>Во первых, на многих этажах до сих пор нет света, плафоны старые,только штук пять поменяны на новые (светодиодные)многие разбиты, а стекла валяются не убранными, по крайней мере сегодня наблюдала эту картину.<br>Во-вторых, уже не в первый раз не работают два лифта одновременно, а я была с коляской, грудным и трёхлетним ребенком. Хорошо ещё был с нами муж, который помог. До этого я с ребёнком беременная ходила на 15й этаж ни один раз. Позвонив в обслуживающую компанию насчёт лифтов, нам предложили подождать минут 30,а может и больше. Естественно нам пришлось подниматься своими силами. А деньги за плафоны и лифты постоянно ""дерут""!хотя с 94 года было время поменять лифты.Возникает вопрос, куда в этом случае обращаться? Ведь эта проблема возникает довольно часто, не жалуются только люди, которые без колясок и детей и могут без проблем подняться по лестнице.";ЖКХ;МКД: инженерные системы и оборудование;Жалобы на неисправность лифтов;Лифты;Техническое состояние;;;;;;;МКД;ЖК;
27.2.22;Александр Дмитриевич, добрый день. Помоги пожалуйста, уже и не знаю куда обращаться больше месяца как из асфальта льётся горячая вода, коммунальщики ничего не делают. Это дорога по которой ездят машины и ходят пешеходы в школу сады и магазины. Чего ждут не понятно когда провалиться асфальт и произойдёт несчастье. Адрес между шелгунова 41 шелгунова 37.<br>Фото и видео прилагаю. Заранее спасибо;Энергетика;Водоснабжение;Водоснабжение: технологическое нарушение на сети ВС/ГВС/ВО;Авария на сети;0;Невский район;;Шелгунова;ул;;Шелгунова ул;;КЭИО;
27.2.22;"Когда будет освещение на ""болезненом"" участке Громова?! Уже 2022 год! Три года обещаний...";Энергетика;Освещение;Жалобы на недостаточность освещения;Общественные территории;Недостаточно;Красногвардейский район;;Громова;ул;;Громова ул;;КЭИО;
27.2.22;На ноябрь? А летом нельзя это сделать, чтобы люди не мерзли сутками, как сейчас?;Энергетика;Отопление;Жалобы на отсутствие/недостаточность отопления в связи с аварией на сетях;;Недостаточное или отсутствует;Московский район;;Победы;ул;6;Победы ул 6;;КЭИО;
27.2.22;Дратути ) А что ваши коллеги из ТЭК роют на Савушкина около домов 143 и 145? Там клали трубы примерно в 2015 году. Неужели воскресло трубное дело??? У меня видео есть, но лень искать, там каток катал новый асфальт на тротуате. Почему не на газоне? Если труба шарахнет на газоне, то хрен с деревьями, не жалко, А вот как мне проходить мимо решеток и забора? У меня инвалидность по зрению, а тут еще понаставили заборов. Кстати, почему нет красных фонарей, как это бывало в СССР?;Энергетика;Благоустройство;Жалобы на нарушение благоустройства при проведении земляных работ;Земляные работы;Нарушение при проведении;Приморский район;;Савушкина;ул;;Савушкина ул;;КЭИО;
27.2.22;И не только в Пушкине, но и в Павловске. Внутридворовые порывы по5 - 6 раз за сезон роют в на одном месте. С такими копаниями нам и сто лет не хватит, и деньги на ветер<br>VID_20220227_131230.mp4;Энергетика;Водоснабжение;Водоснабжение: технологическое нарушение на сети ВС/ГВС/ВО;Авария на сети;0;Пушкинский район;;;;;;;КЭИО;
27.2.22;Ленсвет молодец, нашли место... Феодосийская улица;Энергетика;Освещение;Жалобы на неисправность освещения;Общественные территории;Неисправно;;;;;;;;КЭИО;
27.2.22;Когда можно будет увидеть проект парка напротив Дор. Муринская 84?;Благоустройство;Благоустройство;Вопросы граждан о проектах/планах/сроках/ходе проведения работ по благоустройству;Общественные территории;Вопросы по благоустройству;Красногвардейский район;;Муринская;дор;;Муринская дор;;;
27.2.22;[id215235441|Юлия], а это не только моё мнение. А в другом месте построить корыто что мешает? Почему нужно нарушать права тех, кто хочет сохранить спроектированный главным архитектором блокадного Ленинграда СКК, составляющий единое целое с ансамблем Парка Победы?;Благоустройство;Благоустройство;Недовольство благоустройством парков/скверов и зон отдыха;Парки/Скверы и зоны отдыха;0;;;;;;;;;
27.2.22;Здравствуйте! Можно ли внести предложение по улучшению внешнего вида нашего города?<br>1. Разрешать в домах ( особенно в центре и старинных особняках все окна только одного типа и цвета.<br>2. Ввести штрафы за хлам на балконах и вообще внешний вид окон , зданий, так как из -за этого (и многого другого) город выглядит очень неухоженный. А это значит не привлекательным в глазах туристов.;Благоустройство;Благоустройство;Прочее благоустройство;0;Прочее;;;;;;;;КГА;
27.2.22;помогите найти родственников на украине донецкая обл г константиновка ищу двоюродного брата скаба юрий васильевич// после смерти моей матери связь потерялась\\знаю что там двое детей //приглашаю к себе всей семьёй// год рождения скаба юрия приблизительно 1965- 1967 пожалуйста помогите \\связи с ними нет \\может им нужна помощь \мы поможем;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;лучше бы маршруты добавили между невским и красногвардейским районами! трамвай встанет, и всё нет сообщения между районами....;Транспорт;Маршруты;Добавить новый маршрут, возобновить маршрут общественного транспорта;Добавить;;Невский район;;;;;;;КТ;
27.2.22;Уважаемый Комитет по Транспорту!<br>Хотелось бы обратить внимание на то, что транспортное предприятие, обслуживающее ряд социальных маршрутов в Петербурге (конкретно 70/71) не выполняет работы, предусмотренные заключённым контрактом - не осуществляет пассажирскую перевозку. Было замечено, что на момент 19:08 ни один автобус не подошел к остановке «Двинская улица, 15», несмотря на точ, что она является стартовой для рейсов. Пройдя чуть дальше по острову, было замечено, что оба автобуса с водителями внутри отстаиваются на обочине Невельской улицы, около дома 18а.<br>Прошу обратить внимание и принять меры в отношении перевозчика. Тем более, оба маршрута проходят в самом центре Петербурга, мимо главных достопримечательностей Адмиралтейского района. Хотелось бы получить замену до реализации транспортной реформы;Транспорт;Маршруты;Неудовлетворенность графиком движения общественного транспорта;График;;Адмиралтейский район;;;;;;;КТ;
27.2.22;Перешлите пожалуйста эти два верхних Сообщения комитету по транспорту;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;Мало того что в центре почти везде платные парковки и они кстати подорожали почти вдвое, так еще и до районов скоро доберутся. У каждого дома еще сделайте. Дороги не чистят, ждут когда само растает. Пешеходам по тротуарам не пройти, везде лед, того и гляди ноги переломаешь. Администрация лучше бы за этим смотрела и штрафовала- вот и деньги в бюджет. Так нет: надо с народа побольше содрать.;Транспорт;Парковки;Создание, поддержание, ликвидация, справочная информация по зонам платных парковок;Плата;;Калининский район;;;;;;;КТ;
27.2.22;На Стремянной ул. от Марата до Владимирского пр. односторонка, некоторые умудряются припарковаться на проезжей части, водителю невозможно проехать, особенно если час пик. Надо что-то предпринимать с парковками на улицах с односторонним движением;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;Большинство жителей Кронштадта недовольны светофором на пр.Ленина 16 , очень маленький интервал времени для перехода и слишком большой для проезда транспорта, ведь там не магистраль, а проспект. Вдобавок часто там не работает кнопка переключения светофора для перехода улицы.<br>В городе очень много пожилых людей и инвалидов , перебегать по секундам данный перекресток им не под силу. Поэтому необходима корректировка в работе светофоров в зависимости от интенсивности движения , а также времени суток.;Транспорт;Светофоры;Изменить текущий режим работы светофора;Режим работы;;Кронштадтcкий район;;Ленина;пр-т;16;Ленина пр-т 16;;КТ;
27.2.22;Маршрут №16, вагон №1370 (трамвай).<br>Ужасное состояние!<br>Это не могло образоваться за месяц!<br>Пожалуйста, приведите вагончик в порядок...;Транспорт;Подвижной состав;Жалобы на плохое санитарное состояние в общественном транспорте;Санитарное состояние;;;;;;;;;КТ;
27.2.22;Остановок на углу с Руставели-нет. Одной остановки в створе Лужской улицы-нет...<br>Красавцы, блин.;Транспорт;Маршруты;Изменить маршрут общественного транспорта;Изменить;;Калининский район;;Руставели;ул;;Руставели ул;;КТ;
27.2.22;[club187956888|Комитет по транспорту] , добрый день.<br>Кто является банком эквайером на сэкопах?;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;Скажите пожалуйста, а какой смысл крюка через Заречную и Энгельса, как и у 199?<br>Маршрутка сейчас едет круг Дудина - Гаврилина - Абрамова, а на Энгельса между Заречной и Дудина пробки постоянные..;Транспорт;Маршруты;Отсутствие информирования об изменении, закрытия маршрута общественного транспорта, справочная информация об изменении, закрытии маршрута общественного транспорта;Информирование;Закрытие, изменение;Выборгский район;;Энгельса;пр-т;;Энгельса пр-т;;КТ;
27.2.22;Что насчет Уткиной Заводи? Изначально ведь планировали что после Кудрово ветка пойдет на Народную (перекресток Народной и Дальневосточного), а затем пойдет в Уткину Заводь с перспективой продления до Новосаратовки. Это первое. Второе - планировали пробивку Дальневосточного проспекта на Русановскую и далее КАД. Третье - что с Русановской? Долго нас будут завтраками кормить и переносить план? Где обещанные остановки у дома 16-18 по Русановской? И последнее - когда будут реконструировать и расширять Приневскую??? Пока еще есть возможность это сделать.;Транспорт;Метро;Строительство новых станций метро;Нехватка;;Невский район;;;;;;;КРТИ;
27.2.22;Уважаемый Александр Дмитриевич!Я,Григорьева Т.Ю.,проживаю в Пушкине,ул.Ленинградская д.51 кв.78. В 2022 году в январе нас отключали от тепла 3 раза,по разным причинам,а в Феврале уже два раза.После этих отключений тепла в комнатах квартиры НЕТ,батареи как парное молоко!Это не только в моей квартире,а во всем доме.Один раз сантехник ЖКС-2,по многочисленным требованиям с трудом ПРОЧИСТИЛ ФИЛЬТРЫ в подвале дома,так батареи в комнатах нагрелись сразу же!!Но,тепла этого хватило на 2 недели.После февральских отключений опять все остыло.Пишу по просьбе жителей дома.Необходим капитальный ремонт ЭТИХ ФИЛЬТРОВ,чтобы они каждый раз НЕ ЗАСОРЯЛИСЬ!!!Необходимо,чтобы Сантехники ЖКС-2 толково работали,а не надеялись на работников АВАРИЙКИ!Александр Дмитриевич,надеемся на Вашу поддержку!С уважением. Т.Ю.;ЖКХ;МКД: инженерные системы и оборудование;Жалобы на системы отопления, водоснабжения, водоотведения;Неисправность инженерных систем МКД;Протечка, шум, запах, засор;Пушкинский район;Пушкин;Ленинградская;ул;51;Пушкин Ленинградская ул 51;МКД;АР;
27.2.22;Здравствуйте! Прошу провести проверку Детского Диагностического центра на предмет очистки от льда . Адрес - Матросова 22 . Мы посещаем несколько раз в неделю Кдц - идти с парковки до дверей невозможно! Ребёнок у меня инвалид - нужно умудриться донести и не упасть . Кто будет отвечать за травмы ? Ребёнка нем муж , упала я сама . Кдц посещает очень много детей с инвалидностью - там находится отделение реабилитации . Прошу в кратчайшие сроки навести порядок .;Не ЦУР;Не ЦУР;Не ЦУР;;;Выборгский район;;;;;;;;
27.2.22;Уважаемый Александр Дмитриевич не пора ли дать петербуржцам пожить нормально снять эти никому не нужные ограничения ,куар коды которые только увеличили колличество заболевших ,люди очень злые от ваших ограничений, уставший от всего что происходит народ ,а маски которые вообще что мертвому припарка,вы не знаете сколько вреда они принесли людям с астмой и сердечно-сосудистых заболеваний.мы на работе 12 часов должны сидеть с этими тряпками ,так вечером уже жуткий кашель до задыхания ,экземы на на лице ,до каких пор Вы будете издеваться над людьми ,дайте спокойно дожить и так неизвестно что будет в мире завтра.обычное орз ,оно всю жизнь было есть и будет ,а вы будете нас мучить???;Здравоохранение;Профилактика COVID;Ограничения по QR-кодам;Ограничительные меры;Критика;;;;;;;;КППИТ;
27.2.22;Добрый день! Я уже два раза переболела короной и ни разу не предложили! А я даже и забыла, что их должны выдавать!!!;Здравоохранение;Коронавирус;Жалобы на невыдачу бесплатных лекарств;Лечение;Неполучение бесплатных препаратов;;;;;;;;АР;
27.2.22;Здравствуйте, меня зовут Александра Ким. Я недавно выписалась из больницы и у меня подозрение на опухоль надпочечника, то есть в больнице сняли симптомы, но лечить и выяснять не стали. Мне нужна срочная консультация эндокринолога. Я сдала платный анализ в лабораторию Хеликс и он, к сожалению, плохой. Скорее всего мне нужна операция. Записаться на приём бесплатный по ОМС я не могу. Я не хочу умирать в 41 год или становиться нетрудоспособной. Мне нужны деньги на платное и быстрое лечение в размере 100000 рублей. У меня через день или каждый день гипертонический криз уже две недели, я устала от этого. Помощь может не успеть. Я скорую жду с большим давлением по 40 минут не меньше.;Здравоохранение;Медпомощь;Длительное ожидание скорой помощи;Длительное ожидание;Скорой помощи;;;;;;;;КЗ;
27.2.22;Все тяжёлые умерли из за ковид. Чего ей снижаться? Кто то получает своевременную помощь! Или стали находить на ранних стадиях и лечить?;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;Калининский район;;;;;;;КЗ;
27.2.22;да как же легко? Откуда столько умирающих от ковид, если практически все уже привиты или переболели? Особенно легко переносит Жириновский.;Здравоохранение;Здравоохранение;Здравоохранение, прочее;Прочее;;;;;;;;;КЗ;
27.2.22;Доброе утро. Давно хотела Вам написать, но как то всё откладывала. Меня очень беспокоит такой вопрос. Я живу на пересечении ул.Коммуны и пр.Косыгина. У нас под окнами поставили вышку. Совсем рядом. Метров 100 наверное, а может и меньше. Рядом детский садик. Так вот, последнее время я ,и не только я, а все, кто живет рядом, стали жаловаться на плохое самочувствие. Может это как то связано с этой вышкой. Там рядом церковь и лесопарк. Люди ходят гулять с детками. И как то теперь страшно туда ходить. Скажите пожалуйста, что это за вышка? И нельзя ли её отнести подальше от домов?Заранее спасибо. Буду ждать ответ и Ваше решение.;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;Как выдаются лекарства, если вызванный на дом врач на вызов не приходит.?? Два раза болели, в прошлом и в этом году - лекарств не давали!;Здравоохранение;Коронавирус;Жалобы на лечение на дому;Лечение;Качество лечения на дому;;;;;;;;АР;
27.2.22;Я ещё хотела спросить по поводу лекарства Эликвис 5 мг Федеральная льгота;Здравоохранение;Лекарственное обеспечение;Отсутствие льготных препаратов и мед.изделий;Отсутствие льготных препаратов и мед.изделий;;Адмиралтейский район;;;;;;;КЗ;
27.2.22;Позавчера была в городской аптеке на Бабушкина. Фликсотида нет. Сингуляр 5 мг взяла последний. Это препараты для астматиков, если что. Спросила когда будут, в ответ - в такой обстановке неизвестно.;Здравоохранение;Лекарственное обеспечение;Проблемы с получением лекарств первой необходимости;Неполучение препаратов ЖНВП;;Невский район;;;;;;;КЗ;
27.2.22;Здравствуйте подскажите пожалуйста, когда уберут киоск бесхозный, там уже помойка образовалась?!;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;Мы против ку кодов! Вы ущемляет права детей, когда не пускаете родителей без ку кодов в театры!;Здравоохранение;Профилактика COVID;Ограничения по QR-кодам;Ограничительные меры;Критика;;;;;;;;КППИТ;
27.2.22;Как добиться вывоза мусора? Не вывозят с Нового года, Невский оператор блабла на обращения не реагирует никак. Дудергоф, Красноармейская улица.;ТКО;Контейнерные площадки;Жалобы на несвоевременный вывоз отходов;Вывоз отходов;Несвоевременно;Красносельский район;;;;;;КП;АР;
27.2.22;А в Питере пока так, Александр Дмиртиевич.<br>Дунайский 43, арка рядом с 8 подъездом;ТКО;Отходы;Наличие мусора во дворах МКД (за исключением контейнерной площадки);Дворовые территории;За исключением КП;Фрунзенский район;;Дунайский;ул;43;Дунайский ул 43;Дворы;АР;
27.2.22;[club178943594:bp-178943594_1471|Красногвардейский], спасибо за содействие. Площадку действительно, привели в порядок. Но сегодня ночью произошло правонарушение, что привело к тому, что в следующий раз машину с мусором забрать не смогут. Неизвестные, свалили мешки со строительным мусором, перед пухто.<br>Прошу об этом проинформировать оператора или обеспечить уборку мешков в контейнер.<br>На торце дома по Беларусской 14/22 ( там где магазин в цокольном этаже) расположена камера. Как известно, со слов жильцов, установленная в рамках гос программы. Прошу предоставить, фото нарушителей или видео материал, для обращения в УМВД.<br>Я как неравнодушный житель, два месяца добивалась очистки площадки от мусора, и не намерена терпеть её зарастание и несанкционированное складирование строительного мусора.;ТКО;Контейнерные площадки;Жалобы на сброс/наличие строительного мусора на контейнерные площадки;Строительный мусор;Незаконное пользование;Красногвардейский район;;Беларусская;ул;14/22;Беларусская ул 14/22;КП;АР;
27.2.22;Должна быть главная новость, вход свободный, без аусвайса, или это навсегда??? Прекоамтие издеваться над горожанами, мы здесь выросли и детей родили, а эти.. Их серии понаехали! Ленинград не за это воевал!;Здравоохранение;Профилактика COVID;Ограничения по QR-кодам;Ограничительные меры;Критика;;;;;;;;КППИТ;
27.2.22;Ирина Петровна, здравствуйте.<br>Две недели назад я перевела своих детей на смешанное обучение. Эта форма обучения нас устраивает, но возникли недопонимания.<br>1. Как школа должна контролировать образовательный процесс дистанционно или очно?<br>2. Должна ли школа предоставлять дополнительные домашние задания для промежуточный аттестации?<br>Или достаточно предоставить школе те задания, которые находятся на СДО.<br>2. По чьей инициативе должна проходить аттестация ученика, родителя, школы?<br>В прошлом году мы были на смешанном обучении и педагоги нам предоставляли дополнительные домашние задания по которым проходила аттестация ребёнка.<br>На сегодняшний день некоторые педагоги школы игнорируют запрос ребёнка. Другие отвечают, что аттестация будет проходить в конце четверти в школе.;Образование;Образовательный процесс;Вопросы организации смешанного обучения в ОО;Смешанное обучение;;;;;;;;;КО;
27.2.22;Добрый день, Ирина Петровна. Беспокоит вас бывшая Сашина классная руководительница, Татьяна Рубинштейн. Очень хотелось бы напроситься на личную встречу относительно просветительского проекта.;Образование;Прочее;Прочие вопросы;Общие вопросы;Общие вопросы;;;;;;;;КО;
27.2.22;Добрый вечер! Вчера внучка принесла из школы информацию от классного руководителя о том, что они будут учиться 6 марта. Хотелось бы узнать, верно ли это. Вызвало беспокойство то, что девочка не попадёт в храм на службу в Прощёное воскресенье, если действительно придётся идти в школу.;Образование;Образовательный процесс;Режим работы ОО;Режим работы;;;;;;;;;КО;
27.2.22;Вместо соляных пещер с бассейнами лучше садики по нормам, с отдельной спальней и отдельным спортзалом, а не ваши пещеры, но дети будут целый день в одной площади. Лишь бы попиариться!;Строительство;Социальная инфраструктура;Потребность в строительстве объектов образования;Образовательные организации;Отсутствие в районе;;;;;;;;КО;
27.2.22;Хорошо бы ещё групповые помещения были по 2кв.м. на ребёнка. А то в группах 25-30 детей, а в групповой комнате одни столы и шкафы по стенам помещаются. Детям подвигаться нет места, на головах друг у друга;Строительство;Социальная инфраструктура;Потребность в строительстве объектов образования;Образовательные организации;Отсутствие в районе;;;;;;;;КО;
27.2.22;Очень хорошо но хотелось бы и старые сделать с бассейном;Образование;Общие вопросы;Общие вопросы ОО;Общие вопросы;Общие вопросы;;;;;;;;КО;
27.2.22;Мой сын стоял в очереди на детский сад, 2 месяца и 11 месяцев! С дочкой стою на логпедию год, а мне год до школы, все врете, по телефонам не дозвонится!!!;Образование;Образовательные организации;Зачисление в д/сад;Устройство в ОО;Зачисление в д/сад;;;;;;;;КО;
27.2.22;Когда уже это ЕГЭ отменят???;Образование;Образовательный процесс;Жалобы по ЕГЭ, ОГЭ;ЕГЭ, ОГЭ;Жалобы;;;;;;;;КО;
27.2.22;Ну собственно всё без изменений!;ТКО;Отходы;Наличие мусора во дворах МКД (за исключением контейнерной площадки);Дворовые территории;За исключением КП;;;;;;;Дворы;КПООС;
27.2.22;"Александр Дмитриевич , здравствуйте! Опять я к ВАМ ((( после нашего обращения по мусору — прошло 2 недели хорошей уборки .. в течении месяца повторяется старая картинка —- все как и было . Приезжает мусоровоз — вытряхивает пухно для ""гномов"" — по другому его и не назвать к сожалению... и уезжает ... а что вокруг контейнера компанию по уборке мусора вообще не интересует ... ну никак !!! приехал вытрехнул ..уехал .. мусор уже подходит к наивысшей точки забора ... у нас к помойке относится 3 больших дома это официально ... но еще рядом хасанский рынок и магазины —- и они тоже к нам идут ((( ужас ... опять крысы бегают..";ТКО;Контейнерные площадки;Неудовлетворительное содержание (антисанитария, отсутствие уборки/подбора мусора) контейнерной площадки;;Неудовлетворительное содержание;;;;;;;КП;КПООС;
27.2.22;Ижору надо очищать от тины и грязи!по всему руслу!<br>В районе железной дороги,у ст Кобралово,Ижора заросла тиной,русло становится уже!<br>В районе Аннолово,тоже плачевно !<br>Экологов много,и программ всяких ТОЧЕЧНЫХ,а не маштабных;Экология;Водные объекты;Чистка водоемов;Чистка водоемов;;Пушкинский район;;;;;;Водные объекты;КПООС;
27.2.22;Когда будут послабления ограничений? Сколько ещё беглов вы будете издеваться над петербуржцами?;Здравоохранение;Профилактика COVID;Ограничения по QR-кодам;Ограничительные меры;Критика;;;;;;;;КППИТ;
27.2.22;Тогда что с ценами происходит?Это просто ВРЕДИТЕЛЬСТВО на фоне нынешней ситуации.;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
27.2.22;Нехватки продуктов и лекарств нет (пока) , зато из-за повышения цен наблюдалась (еще до известных событий) и наблюдается нехватка денег.;Не ЦУР;Не ЦУР;Не ЦУР;;;;;;;;;;;
